I;NAME;RAJD;DECJD;DM;RM;
382;J1253-5820;193.36809167;-58.34469167;100.58;17.70;
383;B1254-10;194.26984375;-10.45154194;29.63;8.00;
384;B1256-67;194.84433333;-67.69451944;94.70;-55.70;
385;B1257+12;195.01490292;12.68235336;10.17;7.78;
386;J1301-6305;195.44066667;-63.09275000;374.00;-631.00;
387;J1302-3258;195.60833333;-32.98000000;26.19;-30.00;
388;B1259-63;195.69849307;-63.83573016;146.73;21.10;
389;J1305-6203;196.33808333;-62.05585278;468.78;-478.00;
390;B1302-64;196.34779167;-64.92458333;505.00;-420.00;
391;B1303-66;196.65883333;-66.28922222;436.90;396.00;
392;J1307-6318;196.97791667;-63.30972222;374.00;136.00;
393;J1308-5844;197.08783333;-58.73716667;205.60;9.10;
394;B1309-12;197.96937478;-12.46711749;36.21;-13.00;
395;J1312+0051;198.19434300;0.85002889;15.35;2.00;
396;B1309-53;198.01961667;-54.04513889;133.00;143.00;
397;B1309-55;198.22305417;-55.27980556;134.10;141.00;
398;J1312-6400;198.02983333;-64.01544444;93.00;-12.90;
399;J1313+0931;198.34583333;9.53222222;12.04;2.30;
400;J1314-6101;198.59750000;-61.02111111;309.00;-388.00;
401;J1317-6302;199.43620833;-63.04783333;678.10;-504.00;
402;B1316-60;199.83437500;-60.94633056;400.94;-280.60;
403;J1319-6105;199.85966667;-61.09061111;440.60;-481.40;
404;J1320-3512;200.05283333;-35.20722222;16.42;-7.80;
405;B1317-53;200.22467083;-53.98472222;97.10;141.00;
406;B1322+83;200.44013125;83.39428667;13.32;-23.67;
407;J1322-6241;200.63395833;-62.69819444;618.80;83.00;
408;J1324-6146;201.18291667;-61.76666667;828.00;-1546.00;
409;J1325-6253;201.27037792;-62.89433167;303.33;-144.00;
410;B1323-58;201.74257083;-58.99146944;287.17;-580.40;
411;B1323-63;201.63513750;-64.14550000;502.70;226.40;
412;B1322-66;201.51137500;-67.01366667;208.97;-52.50;
413;J1327-0755;201.98995000;-7.92494444;27.91;-0.30;
414;B1323-62;201.82156667;-62.37929444;318.48;-322.60;
415;B1323-627;201.78096667;-63.02097500;294.91;87.00;
416;J1327-6400;201.79279167;-64.00363889;679.00;-141.00;
417;B1325-43;202.02680000;-43.96225556;42.00;-22.90;
418;B1325-49;202.13991667;-49.35927778;118.00;170.00;
419;J1331-5245;202.75004167;-52.75705556;148.40;83.00;
420;J1333-4449;203.43678750;-44.82395000;44.30;-71.00;
421;J1334-5839;203.62545458;-58.65459583;119.30;54.00;
422;J1337-4441;204.36562083;-44.69508333;97.80;-28.00;
423;J1337-6423;204.38284583;-64.38469861;259.89;-108.30;
424;B1334-61;204.53852917;-62.07186111;640.30;-459.00;
425;J1339-4712;204.98578583;-47.20153333;39.90;17.00;
426;B1336-64;205.00133333;-64.94525000;76.99;-2.00;
427;J1341-6023;205.28070833;-60.39297222;364.60;-688.00;
428;B1338-62;205.42762500;-62.33908333;719.65;-947.00;
429;J1343+6634;205.99691667;66.57362500;30.03;57.02;
430;J1345-6115;206.43512500;-61.25850000;278.10;-61.00;
431;J1347-5947;206.83075000;-59.79438889;293.40;-548.00;
432;J1348-6307;207.17666667;-63.11777778;597.00;-603.80;
433;J1349-6130;207.40258333;-61.50475556;283.87;-380.00;
434;J1350-5115;207.56732917;-51.25682222;90.39;-2.00;
435;J1352-6803;208.14354167;-68.06030556;214.60;20.40;
436;B1352-51;208.99455000;-51.89831944;112.10;55.00;
437;J1355-5925;208.99629167;-59.41691667;354.80;-451.50;
438;J1355-6206;208.83891667;-62.10558333;547.00;-474.00;
439;J1356-5521;209.21065833;-55.35360000;174.17;89.00;
440;B1353-62;209.35416667;-62.46666667;416.70;-589.00;
441;J1357-6429;209.26012500;-64.49172222;128.50;-47.00;
442;B1356-60;209.99270000;-60.63543056;293.74;38.30;
443;J1400-1431;210.15418172;-14.52973479;4.93;5.00;
444;B1358-63;210.46854167;-63.96166667;98.00;62.00;
445;J1403-6310;210.80833333;-63.17416667;305.00;-709.00;
446;J1403-7646;210.76708333;-76.78263889;100.60;94.00;
447;J1404+1159;211.15411250;11.98777778;18.50;4.00;
448;J1405-4656;211.33927292;-46.93397500;13.88;-5.00;
449;J1406-4233;211.51995833;-42.55572222;79.70;-68.00;
450;J1406-5806;211.50500000;-58.10888889;229.00;153.00;
451;J1406-6121;211.70850000;-61.35775000;537.29;880.00;
452;J1409-6953;212.32041667;-69.89288889;167.63;-51.00;
453;J1410-6132;212.59829583;-61.53559722;961.00;2270.00;
454;J1410-7404;212.53070833;-74.08147778;54.24;-4.00;
455;J1411+2551;212.82860833;25.85233056;12.37;7.60;
456;J1412-6111;213.24841667;-61.19180556;311.80;-93.00;
457;J1412-6145;213.03179167;-61.75791111;512.48;-52.00;
458;J1413-6141;213.29112500;-61.68694444;667.60;-354.00;
459;J1413-6222;213.27279167;-62.37438889;808.10;-490.00;
460;B1409-62;213.38048333;-63.12651389;121.98;44.00;
461;J1415-6621;213.88029167;-66.35338889;260.17;302.00;
462;J1416-6037;214.12745833;-60.63319444;289.20;336.00;
463;J1418-3921;214.70951250;-39.35514167;60.49;-15.00;
464;B1417-54;215.12129167;-54.27297222;129.60;-1.00;
465;J1420-5625;215.01275833;-56.43194444;64.48;33.00;
466;J1420-6048;215.03432083;-60.80456389;360.15;-122.00;
467;J1421-4409;215.33734946;-44.15126472;54.64;-24.30;
468;J1424-5822;216.13387500;-58.38213889;323.90;-643.00;
469;B1424-55;217.10933333;-55.51390556;82.40;4.00;
470;B1426-66;217.66972917;-66.38487500;65.10;-19.20;
471;J1431-4715;217.93590708;-47.25765944;59.35;13.25;
472;J1431-5740;217.76456375;-57.66990833;131.38;-42.20;
473;J1432-5032;218.21779167;-50.53813889;113.00;11.00;
474;J1434-6006;218.52208333;-60.10805556;332.00;-361.00;
475;J1434+7257;218.49890417;72.95736444;12.61;-9.70;
476;J1435-5954;218.75086667;-59.91375000;44.26;-14.00;
477;J1435-6100;218.83448542;-61.01609889;113.78;-53.73;
478;J1437-5959;219.25795833;-59.98372222;549.60;-705.00;
479;J1439-5501;219.91559167;-55.02322806;14.56;-7.90;
480;B1436-63;220.13025000;-63.74677778;124.20;29.00;
481;J1443-5122;220.86237500;-51.37388889;87.00;43.00;
482;J1444-5941;221.19375000;-59.68861111;177.10;-164.00;
483;J1446-4701;221.64880023;-47.02410614;55.83;-9.10;
484;J1452-5851;223.21916667;-58.85366667;260.50;47.00;
485;J1452-6036;223.21618750;-60.60873056;349.52;16.20;
486;J1453+1902;223.44049735;19.03669839;14.06;3.30;
487;B1449-64;223.38610417;-64.22111111;71.25;-18.60;
488;J1454-5846;223.54545000;-58.77631667;116.09;84.30;
489;J1455-3330;223.94987774;-33.51288526;13.57;12.00;
490;B1451-68;223.99967917;-68.72763889;8.61;-0.10;
491;B1454-51;224.41705417;-51.38191667;37.00;12.70;
492;J1457-5902;224.38291667;-59.03444444;477.20;13.70;
493;J1502-5653;225.73912083;-56.89422500;194.00;-253.70;
494;J1502-5828;225.68250000;-58.47833333;584.00;362.00;
495;J1502-6128;225.62433333;-61.48063889;256.50;69.40;
496;J1502-6752;225.57756250;-67.87132194;152.24;232.80;
497;J1503+2111;225.97750000;21.18591667;3.26;-5.00;
498;B1504-43;226.89239583;-43.86779167;48.70;-34.00;
499;B1503-66;226.95264167;-66.68273889;129.80;-42.70;
500;B1508+55;227.35679083;55.52566500;19.62;1.43;
501;J1509-5850;227.36315000;-58.84889167;142.10;41.00;
502;B1507-44;227.70375000;-44.36861111;84.00;8.00;
503;J1511-5414;227.96368750;-54.24453333;84.76;-51.50;
504;J1512-5431;228.02375000;-54.52194444;219.00;5.30;
505;B1508-57;228.17933333;-57.99994444;627.47;510.00;
506;J1513-5739;228.49579167;-57.65038889;469.70;261.00;
507;B1509-58;228.48254583;-59.13600000;252.50;216.00;
508;B1510-48;228.56067917;-48.57221389;51.50;18.00;
509;J1514-4946;228.57964208;-49.77097667;31.01;34.60;
510;J1514-5925;228.74625000;-59.42875000;192.51;6.40;
511;J1515-5720;228.78845833;-57.34726389;480.60;41.00;
512;J1517-4356;229.36391667;-43.93830556;87.78;1.00;
513;J1517-4636;229.37240000;-46.60016667;127.00;-68.00;
514;J1518+4904;229.56999618;49.07618089;11.61;-12.31;
515;B1518-58;230.67601667;-58.48411528;199.90;-24.20;
516;J1524-5625;231.20775000;-56.42316667;152.20;185.80;
517;J1524-5706;231.08925000;-57.10962222;832.00;-475.50;
518;J1525-5545;231.36722500;-55.76384500;126.96;2.90;
519;B1524-39;231.99511667;-39.52616667;48.80;4.00;
520;B1523-55;231.91972500;-55.86898667;370.06;34.00;
521;J1528-3146;232.14564250;-31.76856556;18.16;-32.00;
522;J1528-4109;232.03347083;-41.15800000;89.50;25.00;
523;J1529-3828;232.31294417;-38.47940278;73.66;-30.00;
524;J1529-5355;232.49000000;-53.92666667;292.00;-374.90;
525;J1530-5327;232.61205000;-53.46556111;49.60;-19.00;
526;J1530-6343;232.69836667;-63.72044444;206.00;195.00;
527;J1531-5610;232.86625417;-56.18203611;110.41;-50.00;
528;B1530+27;233.04318583;27.76378417;14.69;3.37;
529;J1534-4428;233.71666667;-44.46927778;137.30;24.00;
530;B1530-53;233.53449167;-53.57212778;24.82;25.00;
531;B1530-539;233.63995833;-54.09436111;190.82;-86.80;
532;J1535-4114;233.82112500;-41.23419444;66.28;17.70;
533;J1535-5848;233.81983333;-58.80769444;107.00;122.70;
534;J1536-3602;234.07242500;-36.04966667;86.80;-24.00;
535;J1536-5433;234.02008333;-54.55416667;147.50;-138.00;
536;B1534+12;234.29150721;11.93206496;11.62;10.60;
537;J1537-4912;234.36750000;-49.20083333;69.70;0.00;
538;J1537-5312;234.40706108;-53.20696028;117.69;-37.40;
539;J1537-5645;234.46250000;-56.75111111;707.00;-4.00;
540;J1538+2345;234.52529167;23.75111111;14.91;11.50;
541;J1538-5732;234.57575000;-57.54147222;152.70;36.60;
542;B1535-56;234.80858333;-56.44063889;175.85;-18.00;
543;J1540-5736;235.24591667;-57.61583333;304.50;-414.00;
544;J1541-5535;235.45666667;-55.58361111;426.10;-256.00;
545;J1542-5034;235.68883333;-50.56768333;91.00;-70.00;
546;B1540-06;235.87557208;-6.34592556;18.30;-1.80;
547;B1541+09;235.91177083;9.48787194;34.98;15.95;
548;J1543-5149;235.93395750;-51.83185694;50.98;-27.00;
549;J1543-5459;235.98512500;-54.98750000;344.99;167.00;
550;J1544-0713;236.09802917;-7.23306111;30.73;21.00;
551;J1544+4937;236.01869675;49.63201514;23.23;9.92;
552;B1541-52;236.24928917;-53.14637583;35.16;-42.00;
553;J1545-4550;236.48310608;-45.84375766;68.39;2.99;
554;J1546-5302;236.53083333;-53.03972222;287.00;-1135.00;
555;J1546-5925;236.62227333;-59.42913083;168.50;-37.00;
556;J1547-5709;236.85052000;-57.15488053;95.72;119.70;
557;J1547-5839;236.89579167;-58.65272222;222.30;-60.00;
558;J1548-4821;237.09691667;-48.36380556;126.00;-137.00;
559;J1548-4927;237.08112500;-49.46122222;141.20;-228.60;
560;J1548-5607;237.18339583;-56.12619444;314.66;22.00;
561;J1549+2113;237.42058750;21.22413889;24.06;32.90;
562;J1549-4848;237.33783333;-48.80986111;55.98;-15.00;
563;J1550-5242;237.51229167;-52.70194444;337.70;-440.00;
564;J1550-5317;237.52000000;-53.28916667;600.00;-1164.00;
565;J1550-5418;237.72551608;-54.30669836;830.00;-1860.00;
566;J1551-4424;237.95008333;-44.41166667;66.50;-32.00;
567;J1551-5310;237.92083333;-53.18347222;491.60;-1023.30;
568;J1551-6214;237.90328333;-62.23982500;122.00;42.00;
569;J1552-4937;238.05529542;-49.63048444;113.80;-30.00;
570;B1550-54;238.49837500;-54.93506944;210.00;113.00;
571;J1555-0515;238.91707083;-5.26594444;23.46;1.30;
572;B1552-23;238.88826808;-23.68607516;51.90;-22.00;
573;B1552-31;238.82480000;-31.57225000;73.05;-49.00;
574;J1556-5358;239.21458333;-53.98194444;436.00;-153.00;
575;J1557-4258;239.25107500;-42.97018333;144.50;-41.90;
576;B1556-44;239.92302552;-44.64608383;55.94;-1.90;
577;B1555-55;239.83625000;-55.76305556;212.90;-150.00;
578;J1600-3053;240.21626293;-30.89705350;52.33;-11.68;
579;B1557-50;240.22089583;-50.73925000;262.79;138.20;
580;B1556-57;240.08291667;-57.85425000;176.55;-131.00;
581;J1601-5335;240.47837500;-53.59558333;195.20;-157.00;
582;J1602+3901;240.57850000;39.01716667;17.26;9.49;
583;B1558-50;240.57804167;-51.00169444;170.79;84.00;
584;J1603-2531;240.77010542;-25.52997222;53.76;15.00;
585;B1600-27;240.78359696;-27.22433718;46.20;-5.00;
586;J1603-5657;240.88108333;-56.96227500;264.07;28.00;
587;J1603-7202;240.89864683;-72.04243281;38.05;30.01;
588;J1604-3142;241.15227500;-31.70177778;58.30;37.00;
589;J1604-4718;241.12254167;-47.31330556;55.10;1.60;
590;B1600-49;241.09573333;-49.16610556;140.80;7.00;
591;J1604-7203;241.12157083;-72.05846111;54.37;22.00;
592;B1601-52;241.31777083;-52.95966667;34.90;4.90;
593;B1604-00;241.80024917;-0.54486861;10.68;6.50;
594;J1609-4616;242.42137500;-46.27291667;150.10;-115.30;
595;B1607-13;242.67822850;-13.37286409;49.13;-61.00;
596;J1610-5006;242.68458333;-50.11172222;410.00;-756.00;
597;J1610-5303;242.55341667;-53.06361111;380.10;-335.00;
598;J1611-4949;242.94429167;-49.83255556;556.80;-405.00;
599;B1607-52;242.76404167;-52.15614722;127.34;-101.00;
600;J1612+2008;243.09763333;20.13842500;19.51;22.26;
601;J1612-5805;243.11590000;-58.09144444;171.30;-21.00;
602;B1609-47;243.37090833;-47.24066944;161.20;-138.00;
603;B1612+07;243.67044377;7.62528291;21.39;28.00;
604;J1614-2230;243.65211475;-22.50869336;34.48;-29.12;
605;J1614-3846;243.67716667;-38.77638889;111.00;45.00;
606;J1614-3937;243.63011250;-39.62466667;152.44;84.00;
607;B1610-50;243.54704167;-50.80097222;582.40;-451.00;
608;B1612-29;243.97014552;-29.67104248;44.79;-30.00;
609;J1615-5444;243.75496250;-54.74233333;312.60;-232.00;
610;B1611-55;243.91845833;-55.61680556;124.48;10.00;
611;J1616-5109;244.12875000;-51.15472222;1160.00;-8.00;
612;J1618-3921;244.57843667;-39.35050417;117.93;177.50;
613;J1618-4624;244.71989912;-46.40970833;125.41;2.00;
614;J1618-4723;244.52833333;-47.38863889;134.70;39.00;
615;J1622-3751;245.51908333;-37.85386111;155.70;85.00;
616;J1622-4332;245.68945000;-43.54116667;230.68;140.00;
617;J1622-4802;245.69662500;-48.03697222;364.30;243.60;
618;J1622-4944;245.65625000;-49.74166667;755.00;-1286.20;
619;J1622-4950;245.68666667;-49.84844444;820.00;-1484.00;
620;J1622-6617;245.51528375;-66.28804944;88.00;9.00;
621;B1620-09;245.82358292;-9.14687028;68.18;-85.00;
622;B1620-26;245.90925750;-26.53160250;62.86;-8.00;
623;B1620-42;245.95121250;-42.94794444;295.00;109.60;
624;J1623-4949;245.97833333;-49.81777778;183.30;-42.00;
625;J1624-4411;246.08900417;-44.19272222;139.40;-10.00;
626;J1625-4048;246.29304167;-40.80597222;145.00;-7.00;
627;J1626-4537;246.70408333;-45.62377778;237.00;112.00;
628;J1626-6621;246.52854583;-66.35424167;84.11;39.00;
629;J1627+1419;246.82816250;14.32241667;32.17;18.61;
630;J1627-5547;246.83783333;-55.79788889;166.20;12.00;
631;J1627-5936;246.96912500;-59.61536111;99.30;89.00;
632;J1628+4406;247.20963287;44.11183659;7.33;3.36;
633;J1628-4804;247.11179167;-48.08305556;952.00;-447.00;
634;J1629-3636;247.39920833;-36.60361111;101.00;0.00;
635;J1629-6902;247.28654417;-69.04591500;29.49;36.67;
636;J1630+3550;247.64977775;35.84512028;17.45;8.52;
637;J1630+3734;247.65194554;37.57836028;14.18;1.73;
638;J1630-4719;247.51029167;-47.32833333;487.20;-339.00;
639;B1626-47;247.65612500;-47.55138889;509.30;-348.00;
640;J1632-4621;248.20755417;-46.36350000;559.83;311.50;
641;J1632-4818;248.16541667;-48.31494444;758.00;-515.00;
642;J1633-2009;248.48041667;-20.16916667;48.19;-0.10;
643;B1630-44;248.44603333;-44.88550000;472.22;159.00;
644;B1629-50;248.25035875;-50.25232167;398.41;406.10;
645;J1634-5107;248.52079167;-51.12933333;372.80;-151.00;
646;J1634-5640;248.57987500;-56.68019444;148.00;159.00;
647;B1633+24;248.85742371;24.31314405;24.27;21.97;
648;J1635-4944;248.98083333;-49.74333333;474.00;-23.00;
649;B1630-59;248.78783333;-59.91138889;134.90;110.30;
650;J1636-4803;249.13333333;-48.06527778;503.00;-780.00;
651;J1637-4450;249.47145833;-44.84063889;470.70;-197.00;
652;B1634-45;249.49455000;-45.89078333;193.23;10.00;
653;J1637-4642;249.30729167;-46.70394444;419.10;-43.20;
654;J1637-4721;249.29750000;-47.35083333;448.00;11.00;
655;J1638-3815;249.65562083;-38.25094444;238.00;33.10;
656;J1638-4417;249.69260833;-44.28422222;436.40;139.00;
657;J1638-4608;249.59691667;-46.13705556;423.10;363.00;
658;J1638-5226;249.74983333;-52.44927778;170.10;-62.00;
659;J1639-4359;249.77854167;-43.99777778;258.90;129.00;
660;B1635-45;249.83833750;-46.07586111;258.91;-28.00;
661;J1640+2224;250.06977112;22.40245113;18.43;22.81;
662;B1636-47;250.05454167;-47.26058333;586.32;-422.00;
663;J1641-2347;250.32516667;-23.79333333;27.70;-22.00;
664;B1639+36A;250.42029246;36.45416078;30.44;13.00;
665;J1643-1224;250.90900916;-12.41629785;62.40;-304.28;
666;J1643-4505;250.90379167;-45.09605556;478.60;-858.00;
667;B1641-45;251.20530417;-45.98603056;478.66;-626.90;
668;B1642-03;251.25850250;-3.29939417;35.76;15.80;
669;J1645+1012;251.39339583;10.20445556;36.17;30.20;
670;J1646-1910;251.57775000;-19.17055556;55.00;-10.00;
671;B1643-43;251.71375000;-43.77722222;490.40;-62.00;
672;B1641-68;251.72879167;-68.53102778;43.00;105.00;
673;J1647+6608;251.88550721;66.13951249;22.55;7.76;
674;J1648-3256;252.02529167;-32.94466667;128.28;-60.00;
675;J1648-4611;252.09184583;-46.18770833;392.30;-650.00;
676;J1648-6044;252.21345833;-60.74041667;106.20;59.00;
677;J1649+2533;252.43429167;25.55194444;34.46;29.52;
678;J1649-3805;252.45092500;-38.09975000;213.80;-83.20;
679;J1649-4349;252.33508333;-43.82283333;398.60;759.00;
680;J1649-4653;252.35254167;-46.88591667;331.00;-574.80;
681;J1650-1654;252.61320583;-16.91174500;43.25;16.10;
682;J1650-4502;252.63458333;-45.04369444;320.20;130.00;
683;J1650-4921;252.64628750;-49.35104444;229.30;-208.00;
684;B1648-17;252.88230300;-17.15614106;33.46;4.00;
685;B1648-42;252.95332083;-42.76943611;482.00;-167.40;
686;J1651-4519;252.98833333;-45.31972222;562.00;-669.30;
687;B1647-52;252.92900833;-52.38288333;179.10;-38.00;
688;B1647-528;252.92254167;-52.92991667;164.00;42.10;
689;J1651-7642;252.78279167;-76.71097222;59.90;54.00;
690;J1652-1400;253.06948750;-14.00761111;49.50;-49.00;
691;B1649-23;253.24387329;-24.06413041;68.41;-24.00;
692;J1652+2651;253.01279167;26.86122222;40.80;33.71;
693;J1652-4838;253.22500000;-48.75000000;188.16;-29.50;
694;J1653-2054;253.37929167;-20.91530556;56.52;-4.50;
695;B1650-38;253.41582500;-38.63911111;207.20;-82.00;
696;J1653-4030;253.39262500;-40.50038889;425.00;41.60;
697;J1653-4249;253.41758333;-42.81758333;416.10;25.00;
698;J1654-4140;253.59791667;-41.67333333;307.00;-410.00;
699;J1655-3048;253.85220833;-30.81166667;154.10;-63.00;
700;J1656-3621;254.13731250;-36.36658333;229.00;-23.40;
701;J1658+3630;254.61049917;36.50835972;3.04;6.35;
702;J1658-4306;254.56916667;-43.11388889;845.00;568.00;
703;J1658-4958;254.72883333;-49.98288889;193.40;-230.60;
704;J1658-5324;254.66393162;-53.40194528;30.83;7.80;
705;B1657-13;254.97119792;-13.08583042;60.37;35.00;
706;J1700-3312;255.22075537;-33.21291686;166.97;-15.00;
707;J1700-3611;255.20550000;-36.19805556;232.70;-129.80;
708;B1658-37;255.32687500;-37.44088889;303.40;-605.90;
709;B1657-45;255.37147500;-45.56352778;526.00;4.00;
710;J1702-4128;255.71883333;-41.48005556;365.75;-165.50;
711;J1702-4217;255.65183333;-42.28366667;629.00;10.90;
712;J1702-4310;255.61225000;-43.17777778;377.60;-35.00;
713;B1700-18;255.96288125;-18.77079028;49.55;-29.00;
714;B1700-32;255.84392038;-32.69667568;110.31;-21.70;
715;J1703-4851;255.97725417;-48.86695556;150.29;-46.00;
716;J1704-5236;256.16903750;-52.61594444;170.00;-20.00;
717;B1659-60;256.06166667;-60.28166667;54.00;50.00;
718;J1705-1903;256.36250000;-19.13444444;57.50;-15.60;
719;B1702-19;256.40041557;-19.11073499;22.91;-19.20;
720;J1705-3423;256.42650833;-34.39530556;146.40;-44.00;
721;J1705-3950;256.37433333;-39.84972222;207.25;-98.80;
722;J1705-4108;256.33500000;-41.14555556;1077.00;916.00;
723;J1705-6135;256.31375000;-61.58750000;95.00;75.00;
724;B1703-40;256.84075000;-40.89863889;351.78;-179.70;
725;J1707-4341;256.91712500;-43.68666667;398.20;-143.00;
726;J1707-4729;256.81477917;-47.49291667;268.30;-475.30;
727;J1708-3426;257.24079167;-34.44555556;188.70;-176.00;
728;J1708-3506;257.07342563;-35.10628889;146.76;-10.56;
729;B1701-75;257.01041667;-75.65638889;37.00;40.20;
730;B1706-16;257.36017208;-16.68270278;24.89;1.50;
731;J1709+2313;257.27413333;23.22440278;25.35;36.60;
732;J1709-3626;257.43812500;-36.43433333;393.60;-225.90;
733;J1709-4401;257.42245833;-44.01977778;225.80;-122.00;
734;B1706-44;257.42803333;-44.48562222;75.59;0.50;
735;J1710-2616;257.52041667;-26.27638889;110.00;-9.00;
736;J1710+4923;257.51850454;49.38652178;7.08;12.00;
737;B1709-15;257.97941575;-15.16104092;59.88;8.00;
738;B1707-53;257.97137500;-53.83841667;106.10;-4.50;
739;J1713+0747;258.45639077;7.79374438;15.99;10.88;
740;J1715-3859;258.90787500;-38.99030556;806.20;571.00;
741;J1715-3903;258.80866667;-39.04919444;314.00;228.00;
742;J1715-4034;258.92050000;-40.57166667;254.00;-483.90;
743;J1716-3720;259.04733333;-37.34555556;682.70;-64.00;
744;J1716-4005;259.17525000;-40.09083333;435.00;-526.00;
745;J1716-4711;259.00462083;-47.18358333;287.06;-221.80;
746;B1714-34;259.33435200;-34.41654571;583.46;-191.00;
747;J1717-3953;259.35645833;-39.89861111;466.00;-485.00;
748;J1717-4043;259.44962500;-40.73055556;452.60;-993.00;
749;B1713-40;259.46816667;-41.05494444;306.90;-809.00;
750;J1717-5800;259.39854167;-58.00150000;125.22;39.00;
751;J1718-3718;259.54095833;-37.31430556;371.10;-160.00;
752;J1718-3825;259.55652083;-38.42168333;247.46;113.00;
